School,Sex,Age,Area Type,Family Size,Parents Cohabitation,Mother's Education,Father's Education,Mother's Job,Fathers's Job,Reason,Guardian,Study Time,Failed,Extra School Support,Extra Paid Courses,Extra Activities,Attended Nursery School,Wants Higher Education,Internet Access,In a Romantic Relation,Family Relation,Free Time,Go Out,Workday Alcohol Consumption,Weekly Alcohol Consumption,Health Status,# of Class Absent
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Secondary,Health,Services,School Reputation,Mother,More than 10 hours,0,no,no,yes,yes,yes,yes,no,Good,Low,Low,Very Low,Very Low,Low,4
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,5th to 9th grade,Teacher,Other,Close to Home,Mother,2 to 5 hours,0,no,yes,no,yes,yes,no,no,Good,Normal,Normal,Low,Low,Very High,2
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,Higher,Services,Teacher,Other,Father,2 to 5 hours,1,yes,no,yes,no,yes,yes,no,Good,High,High,Very Low,Very Low,Normal,2
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,Services,Services,Course Preference,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Good,Normal,Normal,Low,Normal,High,2
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Together,Higher,5th to 9th grade,Health,Other,Other,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Good,Normal,Normal,Very Low,Very Low,Very High,2
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Apart,Higher,5th to 9th grade,Health,Health,Other,Father,Less than 2 hours,1,no,no,no,yes,yes,no,no,Excellent,Very High,Very High,Normal,High,Very High,6
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,Higher,Services,Services,Course Preference,Mother,Less than 2 hours,0,yes,yes,no,yes,yes,yes,no,Normal,Normal,High,Low,Normal,Very High,0
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Apart,Secondary,Secondary,other,Other,Other,Mother,Less than 2 hours,0,no,yes,no,yes,yes,yes,no,Excellent,Normal,High,High,High,Very Low,6
Gabriel Pereira,Female,16,Urban,More than 3,Apart,5th to 9th grade,Primary,other,Other,Other,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Excellent,Normal,High,Very Low,Very Low,Low,8
Gabriel Pereira,Female,15,Urban,More than 3,Apart,Higher,Secondary,Services,Services,School Reputation,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Good,Normal,Low,Very Low,Very Low,Very Low,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Teacher,Health,School Reputation,Mother,2 to 5 hours,0,no,no,yes,yes,yes,no,no,Normal,Low,Low,Very Low,Very Low,Very High,4
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Primary,5th to 9th grade,other,At Home,Close to Home,Father,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,Good,Normal,Low,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,5th to 9th grade,Services,Other,Course Preference,Mother,2 to 5 hours,0,no,no,no,yes,yes,yes,no,Good,Low,Normal,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,16,Rural,More than 3,Together,Higher,Higher,Health,Teacher,Other,Mother,2 to 5 hours,0,no,no,yes,yes,yes,no,no,Bad,High,High,Low,Normal,High,6
Gabriel Pereira,Female,16,Urban,More than 3,Together,Primary,Primary,Services,Services,Course Preference,Father,Less than 2 hours,0,yes,no,yes,no,yes,yes,yes,Excellent,Very High,Very High,Very High,Very High,Very High,6
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,Primary,5th to 9th grade,other,Services,School Reputation,Father,2 to 5 hours,0,yes,no,yes,yes,yes,yes,no,Good,High,Normal,Very Low,Very Low,Very Low,4
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,Secondary,Teacher,Health,Close to Home,Mother,5 to 10 hours,0,yes,yes,yes,yes,yes,yes,no,Normal,High,High,Low,High,High,2
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Together,Higher,Secondary,Services,Services,School Reputation,Father,2 to 5 hours,0,yes,no,yes,yes,yes,yes,yes,Good,High,High,Low,High,Low,0
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,Higher,Secondary,Teacher,Services,Course Preference,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Excellent,High,Normal,Very Low,Low,Very Low,2
Gabriel Pereira,Male,15,Urban,More than 3,Apart,Higher,Higher,other,Services,School Reputation,Mother,More than 10 hours,0,no,no,yes,no,yes,yes,yes,Very Bad,Normal,Normal,Very High,Very High,Normal,4
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Primary,Services,Other,Course Preference,Mother,More than 10 hours,0,yes,yes,no,yes,yes,yes,no,Good,Normal,Normal,Very Low,Low,Very High,4
Gabriel Pereira,Female,15,Rural,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,Health,Services,School Reputation,Mother,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,Good,Very Low,Normal,Very Low,Normal,High,2
Gabriel Pereira,Female,15,Rural,Less or Equal to 3,Together,Secondary,Primary,other,Other,School Reputation,Father,More than 10 hours,0,no,no,no,no,yes,yes,no,Good,High,Low,Low,Normal,Normal,12
Gabriel Pereira,Male,16,Urban,More than 3,Together,Secondary,Primary,other,Other,School Reputation,Father,More than 10 hours,0,no,yes,no,yes,yes,yes,no,Good,Normal,Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,5th to 9th grade,other,Other,Course Preference,Mother,More than 10 hours,0,no,no,no,yes,yes,yes,no,Normal,Normal,Normal,Very Low,Very Low,Normal,0
Gabriel Pereira,Female,15,Rural,More than 3,Together,Primary,Primary,other,Other,School Reputation,Mother,2 to 5 hours,2,yes,no,no,no,yes,yes,yes,Normal,Normal,High,Low,High,Very High,2
Gabriel Pereira,Male,16,Urban,More than 3,Together,Secondary,Primary,other,Other,School Reputation,Mother,Less than 2 hours,0,no,no,yes,yes,yes,no,no,Excellent,Normal,Low,Low,Low,Very High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Secondary,other,Services,Close to Home,Mother,2 to 5 hours,0,yes,yes,yes,yes,yes,yes,no,Good,Normal,Normal,Low,High,Very High,54
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Secondary,Teacher,Other,Close to Home,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Good,Normal,Normal,Low,Normal,Very High,6
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,None,Teacher,Other,Course Preference,Mother,More than 10 hours,0,no,no,yes,yes,yes,yes,no,Normal,High,Normal,Very Low,Very Low,Very Low,8
Gabriel Pereira,Female,16,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,other,Other,School Reputation,Mother,More than 10 hours,0,no,yes,no,yes,yes,yes,yes,Excellent,Low,Normal,Very Low,Normal,Normal,0
Gabriel Pereira,Male,17,Urban,More than 3,Together,5th to 9th grade,Primary,other,Other,Close to Home,Mother,Less than 2 hours,3,yes,no,yes,yes,no,yes,no,Good,Very High,Very Low,Very Low,Very Low,Normal,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Higher,At Home,Other,Course Preference,Mother,2 to 5 hours,0,no,no,no,yes,yes,yes,no,Bad,High,Normal,Very Low,Low,Normal,12
Gabriel Pereira,Male,15,Urban,More than 3,Together,5th to 9th grade,Secondary,other,Services,Course Preference,Father,Less than 2 hours,0,yes,yes,yes,no,yes,yes,yes,Normal,Low,Low,Very Low,Normal,Normal,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,5th to 9th grade,Secondary,other,Other,Close to Home,Mother,5 to 10 hours,0,yes,yes,no,no,yes,yes,no,Excellent,Normal,Low,Very Low,Low,Very High,4
Gabriel Pereira,Female,15,Urban,Less or Equal to 3,Together,Secondary,5th to 9th grade,Services,Other,School Reputation,Mother,2 to 5 hours,0,no,yes,no,yes,yes,yes,no,Good,High,High,Very Low,Very Low,Very High,10
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,Services,Services,Close to Home,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,Normal,Normal,Very Low,Normal,High,4
Gabriel Pereira,Female,15,Urban,More than 3,Together,Primary,Primary,other,Other,Close to Home,Father,2 to 5 hours,0,no,no,yes,no,yes,yes,no,Good,Normal,Low,Low,Normal,High,2
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,Higher,Services,Services,School Reputation,Father,2 to 5 hours,2,no,yes,no,yes,yes,yes,yes,Good,High,High,Low,Normal,Very High,6
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,At Home,Other,Course Preference,Mother,2 to 5 hours,0,no,no,no,yes,yes,no,no,Good,Normal,High,Very Low,Low,Low,4
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,5th to 9th grade,other,Other,School Reputation,Mother,5 to 10 hours,0,no,no,yes,yes,yes,yes,no,Excellent,Normal,Normal,Very Low,Normal,Very Low,4
Gabriel Pereira,Male,16,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,Services,Other,School Reputation,Father,2 to 5 hours,1,no,yes,yes,no,yes,yes,no,Good,High,Low,Very Low,Very Low,Normal,12
Gabriel Pereira,Male,16,Urban,Less or Equal to 3,Apart,Higher,Higher,Teacher,Health,School Reputation,Mother,2 to 5 hours,0,no,no,no,yes,yes,no,no,Good,Very Low,Normal,Normal,Very High,Very High,18
Gabriel Pereira,Female,16,Urban,More than 3,Together,Secondary,Secondary,other,Other,Close to Home,Mother,5 to 10 hours,0,no,yes,no,yes,yes,yes,yes,Good,Normal,Normal,Very Low,Normal,High,0
Gabriel Pereira,Female,15,Urban,More than 3,Together,Higher,Secondary,Services,Other,School Reputation,Mother,Less than 2 hours,0,no,yes,yes,yes,yes,yes,no,Good,Very High,Very High,Very Low,Normal,Very Low,4
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,Secondary,Primary,other,Other,Close to Home,Father,2 to 5 hours,0,yes,no,no,yes,yes,no,no,Normal,Normal,Normal,Low,Normal,Low,4
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,5th to 9th grade,Teacher,Services,Close to Home,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,Normal,Normal,Very Low,Very Low,Very Low,0
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,5th to 9th grade,5th to 9th grade,Services,Health,School Reputation,Mother,More than 10 hours,0,no,no,yes,yes,yes,yes,no,Good,Normal,High,Very Low,Very Low,High,6
Gabriel Pereira,Female,15,Rural,More than 3,Together,Primary,Primary,At Home,Other,Close to Home,Mother,More than 10 hours,1,yes,yes,yes,yes,yes,yes,no,Normal,Very Low,Low,Very Low,Very Low,Very Low,2
Gabriel Pereira,Male,16,Rural,More than 3,Together,Higher,Secondary,Services,Other,School Reputation,Mother,Less than 2 hours,0,yes,no,yes,no,yes,yes,no,Normal,Normal,Normal,Very Low,Very Low,High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,5th to 9th grade,Primary,other,Other,Course Preference,Mother,2 to 5 hours,0,no,yes,no,yes,yes,no,yes,Good,Normal,Very High,Very Low,Very Low,Very High,2
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,Higher,other,Other,School Reputation,Mother,Less than 2 hours,0,no,no,yes,no,yes,yes,no,Excellent,Normal,High,Very Low,Low,Very Low,6
Gabriel Pereira,Female,16,Urban,More than 3,Together,Higher,Secondary,other,At Home,Course Preference,Mother,5 to 10 hours,0,yes,yes,no,yes,yes,yes,no,Excellent,Normal,Very High,Very Low,Very Low,Normal,0
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Higher,Services,Services,Other,Mother,Less than 2 hours,0,yes,yes,yes,yes,yes,yes,no,Good,Very High,Very High,Very High,Very High,High,14
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Higher,Services,Teacher,Other,Father,5 to 10 hours,0,no,no,yes,yes,yes,yes,yes,Good,High,Normal,Very Low,Very Low,High,0
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,Services,Other,Course Preference,Mother,Less than 2 hours,0,no,no,yes,no,yes,yes,no,Excellent,Normal,Normal,Very Low,Very Low,Very High,4
Gabriel Pereira,Female,15,Urban,More than 3,Together,Secondary,5th to 9th grade,Services,Other,Close to Home,Mother,2 to 5 hours,0,yes,yes,no,yes,yes,yes,no,Good,Normal,Very High,Very Low,Very Low,Low,26
Gabriel Pereira,Male,15,Urban,More than 3,Apart,Secondary,Higher,Services,Other,Course Preference,Mother,2 to 5 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,High,High,Very Low,Very Low,Very Low,0
Gabriel Pereira,Female,15,Urban,More than 3,Apart,Secondary,Secondary,other,Health,School Reputation,Father,More than 10 hours,0,yes,no,no,yes,yes,no,no,Good,Normal,Normal,Very Low,Very Low,High,10
Gabriel Pereira,Female,15,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,other,Other,Course Preference,Mother,More than 10 hours,0,yes,yes,no,yes,yes,yes,no,Excellent,Very Low,Low,Very Low,Very Low,Normal,8
Gabriel Pereira,Male,16,Urban,More than 3,Together,Secondary,Secondary,Services,Other,Close to Home,Father,5 to 10 hours,0,no,no,yes,yes,yes,yes,no,Excellent,Normal,Normal,Very Low,Very Low,Very High,2
Gabriel Pereira,Male,15,Rural,More than 3,Together,Higher,Higher,other,Other,Close to Home,Father,More than 10 hours,0,no,yes,yes,yes,yes,yes,yes,Very Bad,Normal,Very High,Normal,Very High,Very Low,6
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,Higher,Higher,Health,Health,Other,Mother,5 to 10 hours,0,no,yes,yes,yes,yes,yes,yes,Excellent,High,Very High,Very Low,Very Low,High,4
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Apart,Higher,Higher,Teacher,Teacher,Course Preference,Mother,Less than 2 hours,0,no,no,yes,yes,yes,yes,no,Excellent,Very High,Normal,Very Low,Very Low,High,6
Gabriel Pereira,Female,16,Rural,More than 3,Together,Secondary,Secondary,Services,Other,School Reputation,Father,5 to 10 hours,1,yes,no,yes,yes,yes,yes,no,Good,Very Low,Low,Very Low,Very Low,Low,0
Gabriel Pereira,Female,16,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,At Home,Other,Close to Home,Mother,2 to 5 hours,1,yes,no,yes,yes,yes,yes,no,Normal,Very Low,Low,Very Low,Very Low,Very High,6
Gabriel Pereira,Male,15,Urban,Less or Equal to 3,Together,Higher,5th to 9th grade,Teacher,Other,Course Preference,Mother,Less than 2 hours,0,no,no,no,yes,yes,yes,no,Normal,Very High,Low,Very Low,Very Low,Normal,10
Gabriel Pereira,Male,15,Rural,More than 3,Together,5th to 9th grade,Primary,Health,Services,School Reputation,Mother,2 to 5 hours,0,no,no,yes,yes,yes,yes,yes,Excellent,High,Low,Very Low,Very Low,Very High,8
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Higher,Teacher,Teacher,Course Preference,Father,2 to 5 hours,0,no,no,yes,yes,yes,yes,no,Excellent,High,High,Very Low,Low,Very High,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,Higher,Higher,other,Teacher,School Reputation,Father,2 to 5 hours,0,no,no,yes,yes,yes,no,no,Good,High,Normal,Very Low,Very Low,Low,2
Gabriel Pereira,Male,16,Urban,More than 3,Together,Secondary,Secondary,other,Services,Close to Home,Father,Less than 2 hours,0,no,no,yes,yes,yes,yes,no,Excellent,High,Low,Very Low,Very Low,Very High,0
Gabriel Pereira,Male,17,Rural,More than 3,Together,Primary,Secondary,other,Other,Course Preference,Father,2 to 5 hours,1,no,no,yes,yes,yes,yes,no,Excellent,Low,High,Very Low,High,Very High,20
Gabriel Pereira,Male,15,Urban,More than 3,Together,Secondary,Higher,other,Other,School Reputation,Father,Less than 2 hours,0,no,no,no,yes,yes,yes,no,Normal,High,Normal,Very Low,Low,High,6
Gabriel Pereira,Female,15,Urban,More than 3,Together,Primary,5th to 9th grade,At Home,Services,Course Preference,Mother,2 to 5 hours,0,no,no,no,no,yes,yes,no,Normal,Low,Normal,Very Low,Low,Very Low,2
Gabriel Pereira,Male,15,Urban,More than 3,Together,5th to 9th grade,5th to 9th grade,Services,Services,Close to Home,Father,More than 10 hours,0,no,yes,yes,yes,yes,yes,no,Excellent,Very High,High,Very Low,Low,Very High,6
Gabriel Pereira,Female,16,Urban,Less or Equal to 3,Together,5th to 9th grade,Higher,other,Health,Course Preference,Father,2 to 5 hours,0,no,yes,yes,yes,yes,yes,yes,Good,Low,Low,Very Low,Low,Very High,2
Gabriel Pereira,Male,16,Urban,More than 3,Together,Higher,Higher,Health,Other,Course Preference,Mother,Less than 2 hours,0,no,no,yes,yes,yes,yes,no,Normal,High,High,Very Low,High,Very High,18
