School,Sex,Age,Area Type,Reason,Study Time,Failed,Workday Alcohol Consumption,Weekly Alcohol Consumption,Health Status,# of Class Absent,FamilyInfoSK,StudentInfoSK
Gabriel Pereira,Female,16,Urban,Close to Home,5 to 10 hours,0,Very Low,Normal,High,0,86,77
Gabriel Pereira,Female,15,Urban,School Reputation,Less than 2 hours,0,Very Low,Normal,Very Low,4,87,78
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Low,4,88,79
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,0,89,13
Gabriel Pereira,Male,15,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,High,6,90,80
Gabriel Pereira,Female,15,Rural,Close to Home,More than 10 hours,1,Very Low,Very Low,Very Low,2,91,81
Gabriel Pereira,Male,16,Rural,School Reputation,Less than 2 hours,0,Very Low,Very Low,High,2,92,82
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,2,74,83
Gabriel Pereira,Female,16,Urban,School Reputation,Less than 2 hours,0,Very Low,Low,Very Low,6,93,84
Gabriel Pereira,Female,16,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Normal,0,94,85
Gabriel Pereira,Male,16,Urban,Other,Less than 2 hours,0,Very High,Very High,High,14,32,86
Gabriel Pereira,Male,16,Urban,Other,5 to 10 hours,0,Very Low,Very Low,High,0,43,36
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very High,4,95,87
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Low,26,96,85
Gabriel Pereira,Male,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,0,97,88
Gabriel Pereira,Female,15,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,High,10,98,79
Gabriel Pereira,Female,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Normal,8,73,89
Gabriel Pereira,Male,16,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Very High,2,99,40
Gabriel Pereira,Male,15,Rural,Close to Home,More than 10 hours,0,Normal,Very High,Very Low,6,100,90
Gabriel Pereira,Female,16,Urban,Other,5 to 10 hours,0,Very Low,Very Low,High,4,101,28
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,High,6,102,91
Gabriel Pereira,Female,16,Rural,School Reputation,5 to 10 hours,1,Very Low,Very Low,Low,0,103,92
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,1,Very Low,Very Low,Very High,6,104,92
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Normal,10,105,93
Gabriel Pereira,Male,15,Rural,School Reputation,2 to 5 hours,0,Very Low,Very Low,Very High,8,106,94
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,2,107,23
Gabriel Pereira,Male,15,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Low,2,108,95
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Very High,0,109,96
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,1,Very Low,High,Very High,20,110,97
Gabriel Pereira,Male,15,Urban,School Reputation,Less than 2 hours,0,Very Low,Low,High,6,111,69
Gabriel Pereira,Female,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very Low,2,112,98
Gabriel Pereira,Male,15,Urban,Close to Home,More than 10 hours,0,Very Low,Low,Very High,6,44,99
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,2,113,4
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,0,Very Low,High,Very High,18,114,23
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,0,73,73
Gabriel Pereira,Male,15,Urban,Close to Home,Less than 2 hours,0,Normal,Low,Very High,0,115,100
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very Low,0,116,101
Gabriel Pereira,Female,19,Urban,Course Preference,2 to 5 hours,3,Very Low,Very Low,Very High,2,117,102
Gabriel Pereira,Male,18,Rural,School Reputation,Less than 2 hours,2,Very Low,Low,High,0,118,40
Gabriel Pereira,Male,16,Rural,Course Preference,Less than 2 hours,0,Low,Very High,High,8,119,78
Gabriel Pereira,Female,15,Rural,Course Preference,5 to 10 hours,2,Low,Low,Very High,0,120,103
Gabriel Pereira,Female,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Low,High,0,121,38
Gabriel Pereira,Female,17,Urban,Course Preference,Less than 2 hours,0,Very Low,Normal,Very High,12,122,104
Gabriel Pereira,Female,16,Urban,Course Preference,Less than 2 hours,0,Very Low,High,Very High,16,123,105
Gabriel Pereira,Male,15,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,124,106
Gabriel Pereira,Female,15,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,0,125,107
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,0,Low,High,Very High,0,126,108
Gabriel Pereira,Female,16,Urban,Course Preference,Less than 2 hours,2,Very Low,Very Low,Very High,0,127,109
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,1,Very Low,Normal,Very High,0,128,110
Gabriel Pereira,Female,15,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Very High,0,30,111
Gabriel Pereira,Male,15,Urban,Course Preference,More than 10 hours,0,Very Low,Very Low,Normal,0,129,112
Gabriel Pereira,Male,16,Urban,School Reputation,Less than 2 hours,2,Low,Low,Low,8,130,40
Gabriel Pereira,Female,15,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Very High,2,131,113
Gabriel Pereira,Female,16,Urban,Course Preference,Less than 2 hours,0,Normal,Normal,Very Low,2,132,7
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,3,Very Low,Low,Very High,0,133,114
Gabriel Pereira,Female,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,0,134,21
Gabriel Pereira,Female,15,Urban,Close to Home,2 to 5 hours,3,Very Low,Very Low,Normal,0,135,115
Gabriel Pereira,Female,15,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,2,136,116
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,0,Low,Very Low,Very High,0,119,117
Gabriel Pereira,Male,15,Urban,Course Preference,Less than 2 hours,3,Low,Very High,Very High,0,137,118
Gabriel Pereira,Male,18,Urban,Course Preference,Less than 2 hours,3,Low,Very High,High,0,138,119
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,1,Normal,Very High,Very High,6,139,120
Gabriel Pereira,Female,15,Rural,School Reputation,5 to 10 hours,2,Low,Normal,Normal,8,140,121
Gabriel Pereira,Male,19,Urban,Close to Home,Less than 2 hours,3,Very Low,Very Low,High,0,141,122
Gabriel Pereira,Female,17,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,High,0,142,123
Gabriel Pereira,Male,15,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,2,143,124
Gabriel Pereira,Male,17,Rural,School Reputation,Less than 2 hours,0,Normal,Normal,Very High,8,144,125
Gabriel Pereira,Female,18,Rural,Course Preference,Less than 2 hours,3,Very Low,Very High,High,6,145,126
Gabriel Pereira,Male,16,Rural,Course Preference,Less than 2 hours,0,Very Low,Low,Normal,2,40,127
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,1,High,High,Very High,4,146,128
Gabriel Pereira,Male,17,Rural,Course Preference,Less than 2 hours,2,Low,Low,Very High,0,147,129
Gabriel Pereira,Male,15,Rural,Course Preference,2 to 5 hours,2,Very Low,High,Normal,6,148,130
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,1,Low,High,Very High,0,149,54
Gabriel Pereira,Male,17,Urban,Course Preference,Less than 2 hours,0,Very Low,High,Low,2,150,131
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,3,Very Low,Very High,Very High,0,151,132
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,1,Very Low,Very Low,Low,16,152,133
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Low,High,High,4,153,134
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Normal,0,154,67
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,High,0,73,135
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Normal,0,155,136
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,2,Low,High,Low,0,111,137
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,Normal,2,156,138
Gabriel Pereira,Male,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Very High,0,157,88
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,3,Very Low,Very Low,Normal,0,158,139
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,High,4,159,140
Gabriel Pereira,Male,17,Urban,Course Preference,2 to 5 hours,0,High,High,High,4,160,88
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,High,Very High,2,118,141
Gabriel Pereira,Male,17,Urban,School Reputation,2 to 5 hours,0,Very Low,High,High,4,5,84
Gabriel Pereira,Male,16,Rural,Other,Less than 2 hours,0,Normal,High,Normal,10,161,107
Gabriel Pereira,Male,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Low,4,162,142
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Low,Normal,Normal,10,163,143
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Low,Normal,2,164,144
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Low,Normal,Very High,0,165,145
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Low,Normal,Very Low,56,34,107
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Very Low,14,166,9
Gabriel Pereira,Male,17,Urban,Other,2 to 5 hours,0,Low,Normal,High,12,167,146
Gabriel Pereira,Male,16,Urban,Other,Less than 2 hours,0,Very Low,Low,Normal,2,168,147
Gabriel Pereira,Male,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Low,Very High,0,169,144
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Normal,6,170,148
Gabriel Pereira,Male,17,Rural,Close to Home,2 to 5 hours,0,Very Low,Very High,Normal,4,171,76
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Low,10,172,63
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,0,173,40
Gabriel Pereira,Male,17,Urban,Other,2 to 5 hours,0,High,Very High,Very High,12,174,141
Gabriel Pereira,Male,16,Rural,School Reputation,Less than 2 hours,0,Normal,High,Very High,8,167,111
Gabriel Pereira,Male,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Normal,0,175,63
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very High,0,176,149
Gabriel Pereira,Male,17,Urban,Close to Home,Less than 2 hours,0,Very Low,Low,Very High,4,177,53
Gabriel Pereira,Male,16,Rural,Close to Home,Less than 2 hours,0,Normal,Very High,Normal,8,178,150
Gabriel Pereira,Female,17,Urban,Close to Home,Less than 2 hours,1,Low,Normal,Low,24,179,151
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Normal,0,180,152
Gabriel Pereira,Female,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very High,Low,2,181,153
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,High,6,182,154
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Normal,Very Low,4,183,155
Gabriel Pereira,Female,17,Rural,School Reputation,Less than 2 hours,0,Very Low,Low,Normal,18,73,115
Gabriel Pereira,Female,16,Rural,School Reputation,More than 10 hours,0,Very Low,Very Low,Very High,6,184,156
Gabriel Pereira,Female,17,Urban,Close to Home,5 to 10 hours,1,Normal,High,Very High,28,185,157
Gabriel Pereira,Female,16,Urban,Course Preference,2 to 5 hours,3,Low,Low,High,5,186,11
Gabriel Pereira,Female,16,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Very Low,10,187,138
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,0,Very Low,High,Very High,6,121,5
Gabriel Pereira,Female,17,Rural,School Reputation,5 to 10 hours,0,Very Low,Very Low,High,6,21,158
Gabriel Pereira,Female,19,Urban,School Reputation,More than 10 hours,0,Very Low,Low,Normal,10,188,13
Gabriel Pereira,Male,17,Urban,Close to Home,2 to 5 hours,0,High,Very High,Normal,13,189,159
Gabriel Pereira,Female,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Very Low,High,0,190,47
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,1,Low,High,Very High,15,191,88
Gabriel Pereira,Female,17,Rural,Other,Less than 2 hours,0,Very Low,Low,Normal,12,189,160
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Very Low,2,192,72
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,2,Low,High,Very Low,22,193,161
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,1,Low,High,High,13,194,26
Gabriel Pereira,Female,17,Urban,Close to Home,Less than 2 hours,0,Very Low,High,Normal,3,195,44
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,High,4,196,13
Gabriel Pereira,Female,17,Rural,School Reputation,2 to 5 hours,0,Very Low,Low,Very High,2,197,162
Gabriel Pereira,Female,17,Urban,School Reputation,5 to 10 hours,1,Very Low,Very Low,Very High,0,121,163
Gabriel Pereira,Female,16,Urban,Other,2 to 5 hours,0,Very Low,Very Low,Normal,2,198,164
Gabriel Pereira,Male,18,Urban,Close to Home,2 to 5 hours,0,Very High,Very High,High,0,199,11
Gabriel Pereira,Female,16,Urban,Close to Home,5 to 10 hours,0,Very Low,Very Low,Very High,0,200,32
Gabriel Pereira,Female,18,Rural,School Reputation,2 to 5 hours,1,Very Low,Very Low,High,16,70,107
Gabriel Pereira,Female,17,Urban,Course Preference,2 to 5 hours,0,Very Low,Normal,Normal,10,35,84
Gabriel Pereira,Male,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Normal,2,201,165
Gabriel Pereira,Male,18,Urban,Course Preference,2 to 5 hours,0,High,Very High,Normal,14,139,166
Gabriel Pereira,Female,17,Urban,Course Preference,5 to 10 hours,0,Very Low,Low,Normal,10,202,142
Gabriel Pereira,Female,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Low,Normal,14,20,142
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Very Low,4,153,167
Gabriel Pereira,Male,17,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Low,14,30,168
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Low,High,Very Low,2,203,169
Gabriel Pereira,Male,16,Urban,Close to Home,2 to 5 hours,0,Very Low,Very Low,Very High,18,204,21
Gabriel Pereira,Male,16,Urban,School Reputation,5 to 10 hours,0,Very Low,Normal,Low,10,205,107
Gabriel Pereira,Male,17,Urban,Close to Home,2 to 5 hours,0,Very High,Very High,High,4,206,170
Gabriel Pereira,Female,16,Urban,Close to Home,Less than 2 hours,0,Very Low,Very Low,Very High,20,74,15
Gabriel Pereira,Female,17,Rural,Course Preference,2 to 5 hours,0,Very Low,Very Low,Normal,2,207,171
Gabriel Pereira,Male,18,Urban,School Reputation,2 to 5 hours,1,Normal,Very High,Low,0,208,172
Gabriel Pereira,Male,17,Urban,Course Preference,2 to 5 hours,0,Very Low,High,Very High,14,209,173
Gabriel Pereira,Male,17,Rural,Course Preference,2 to 5 hours,0,Low,Normal,High,2,210,11
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Normal,0,211,137
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,0,Very Low,Low,Very High,0,212,111
Gabriel Pereira,Female,18,Urban,Course Preference,5 to 10 hours,0,Very Low,Very Low,Normal,0,213,174
Gabriel Pereira,Male,16,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,High,6,74,63
Gabriel Pereira,Male,17,Urban,Course Preference,Less than 2 hours,0,Very Low,Very Low,Low,4,175,175
Gabriel Pereira,Male,20+,Urban,Other,Less than 2 hours,3,Very High,Very High,Very Low,16,214,176
Gabriel Pereira,Male,18,Rural,Course Preference,2 to 5 hours,1,Very Low,Normal,Very High,8,215,177
Gabriel Pereira,Male,16,Urban,Other,Less than 2 hours,0,Low,High,Very High,0,216,116
Gabriel Pereira,Male,18,Urban,Course Preference,Less than 2 hours,1,Low,High,Very High,0,96,178
Gabriel Pereira,Male,16,Urban,School Reputation,2 to 5 hours,0,Very Low,Normal,Low,6,217,179
Gabriel Pereira,Male,18,Urban,Other,Less than 2 hours,1,Low,Very High,Very High,4,218,180
Gabriel Pereira,Male,16,Rural,Course Preference,Less than 2 hours,0,Very Low,Normal,Normal,0,219,181
Gabriel Pereira,Male,17,Rural,Course Preference,Less than 2 hours,0,Low,High,Very High,0,74,61
Gabriel Pereira,Male,17,Urban,Course Preference,Less than 2 hours,1,Very Low,Low,Very High,2,220,23
Gabriel Pereira,Female,17,Urban,School Reputation,More than 10 hours,0,Very Low,Very Low,High,6,221,16
